domain,registration,renewal,icann_fee,transfer,average,length,cost_score,domains,share
.us,25.63,45.88,0,45.88,35.755,2,71.51,5653141,0.7010%
.de,18.97,27.97,0,27.97,23.47,2,46.94,28119369,3.4869%
.uk,34.55,34.55,0,X,34.55,2,69.1,24543854,3.0435%
.id,128.22,128.22,0,128.22,128.22,2,256.44,1925779,0.2388%
.cc,21.95,58.48,0,58.48,40.215,2,80.43,3638315,0.4512%
.gg,365.32,365.32,0,365.32,365.32,2,730.64,85724,0.0106%
.im,29.59,47.65,0,X,38.62,2,77.24,93275,0.0116%
.tv,176.85,176.85,0,176.85,176.85,2,353.7,790902,0.0981%
.co,65.98,183.93,0,183.93,124.955,2,249.91,7119254,0.8828%
.eu,10.97,35.26,0,35.26,23.115,2,46.23,6538604,0.8108%
.my,16.14,183.23,0,183.23,99.685,2,199.37,1005380,0.1247%
.in,42.27,42.27,0,42.27,42.27,2,84.54,6190635,0.7677%
.me,10.48,109.95,0,109.95,60.215,2,120.43,2598892,0.3223%
.ai,488.36,488.36,0,488.36,488.36,2,976.72,959619,0.1190%
.ca,65.98,65.98,0,65.98,65.98,2,131.96,5324484,0.6603%
.io,148.53,329.78,0,329.78,239.155,2,478.31,1749318,0.2169%
.to,146.55,146.55,0,146.55,146.55,2,293.1,71715,0.0089%
.pw,44.53,110.3,0,110.3,77.415,2,154.83,311968,0.0387%
.je,365.32,365.32,0,365.32,365.32,2,730.64,10618,0.0013%
.ad,123.12,123.12,0,123.12,123.12,2,246.24,14843,0.0018%
.ac,183.23,183.23,0,183.23,183.23,2,366.46,37788,0.0047%
.fm,481.28,621.04,0,621.04,551.16,2,1102.32,112791,0.0140%
.cv,9.77,54.94,0,54.94,32.355,2,64.71,24376,0.0030%
.sh,219.19,219.19,0,219.19,219.19,2,438.38,50265,0.0062%
.rip,131.89,131.89,1.42,131.89,131.89,3,395.67,31920,0.0040%
.vip,25.62,33.27,1.42,33.27,29.445,3,88.335,4349899,0.5394%
.biz,7.36,117.24,1.42,117.24,62.3,3,186.9,3924754,0.4867%
.foo,73.06,73.06,1.42,73.06,73.06,3,219.18,4327,0.0005%
.tel,65.77,65.77,1.42,65.13,65.77,3,197.31,146166,0.0181%
.day,36.67,73.27,1.42,73.27,54.97,3,164.91,23824,0.0030%
.wtf,14.65,205.17,1.42,205.17,109.91,3,329.73,88807,0.0110%
.xxx,73.27,696.15,1.42,696.15,384.71,3,1154.13,144577,0.0179%
.vin,43.96,337.07,1.42,337.07,190.515,3,571.545,23307,0.0029%
.pro,18.33,139.26,1.42,139.26,78.795,3,236.385,1891681,0.2346%
.sbs,5.31,87.93,1.42,87.93,46.62,3,139.86,1839441,0.2281%
.dad,73.06,73.06,1.42,73.06,73.06,3,219.18,4340,0.0005%
.app,36.67,102.58,1.42,102.58,69.625,3,208.875,1832691,0.2273%
.now,77.73,219.82,1.42,219.82,148.775,3,446.325,19153,0.0024%
.llc,73.27,241.84,1.42,241.84,157.555,3,472.665,77131,0.0096%
.cfd,4.31,87.93,1.42,87.93,46.12,3,138.36,1118125,0.1387%
.icu,6.01,87.93,1.42,87.93,46.97,3,140.91,1004792,0.1246%
.mov,73.06,73.06,1.42,73.06,73.06,3,219.18,7220,0.0009%
.win,29.16,36.46,1.42,29.16,32.81,3,98.43,972825,0.1206%
.ing,73.27,73.27,1.42,73.27,73.27,3,219.81,27081,0.0034%
.ltd,36.67,175.86,1.42,175.86,106.265,3,318.795,932227,0.1156%
.how,146.12,146.12,1.42,146.12,146.12,3,438.36,7421,0.0009%
.fun,10.83,182.65,1.42,182.65,96.74,3,290.22,800113,0.0992%
.boo,36.67,73.27,1.42,73.27,54.97,3,164.91,7587,0.0009%
.lol,7.36,183.22,1.42,183.22,95.29,3,285.87,772067,0.0957%
.dev,36.67,87.93,1.42,87.93,62.3,3,186.9,734400,0.0911%
.inc,530.98,14579.43,1.42,14579.43,7555.205,3,22665.615,7965,0.0010%
.bio,36.67,410.34,1.42,410.34,223.505,3,670.515,128138,0.0159%
.men,29.16,36.46,1.42,36.46,32.81,3,98.43,581472,0.0721%
.one,29.24,139.26,1.42,139.26,84.25,3,252.75,561286,0.0696%
.sex,73.27,696.15,1.42,696.15,384.71,3,1154.13,14295,0.0018%
.law,586.2,586.2,1.42,586.2,586.2,3,1758.6,38550,0.0048%
.nyc,183.22,183.22,1.42,183.22,183.22,3,549.66,118525,0.0147%
.ceo,63.64,622.88,1.42,622.88,343.26,3,1029.78,9596,0.0012%
.diy,29.38,219.82,1.42,219.82,124.6,3,373.8,10920,0.0014%
.gay,10.97,197.88,1.42,197.88,104.425,3,313.275,53817,0.0067%
.art,16,146.55,1.42,146.55,81.275,3,243.825,378954,0.0470%
.cab,183.22,183.22,1.42,183.22,183.22,3,549.66,9672,0.0012%
.net,79.29,79.29,1.42,79.29,79.29,3,237.87,24450789,3.0320%
.org,45.87,69.38,1.42,67.25,57.625,3,172.875,20898609,2.5915%
.vet,234.48,234.48,1.42,234.48,234.48,3,703.44,21398,0.0027%
.lat,7.36,183.22,1.42,183.22,95.29,3,285.87,299416,0.0371%
.kim,36.67,131.89,1.42,131.89,84.28,3,252.84,43671,0.0054%
.top,7.43,27.25,1.42,27.25,17.34,3,52.02,17386188,2.1560%
.red,54.94,131.89,1.42,131.89,93.415,3,280.245,72774,0.0090%
.fit,10.97,175.86,1.42,175.86,93.415,3,280.245,262138,0.0325%
.mba,73.27,219.82,1.42,219.82,146.545,3,439.635,19340,0.0024%
.xyz,13.16,88.64,1.42,88.64,50.9,3,152.7,9519609,1.1805%
.cam,10.62,102.58,1.42,102.58,56.6,3,169.8,77176,0.0096%
.zip,73.06,73.06,1.42,73.06,73.06,3,219.18,19301,0.0024%
.fan,307.75,307.75,1.42,307.75,307.75,3,923.25,18787,0.0023%
.ink,10.97,146.55,1.42,146.55,78.76,3,236.28,217577,0.0270%
.tax,54.94,381.03,1.42,381.03,217.985,3,653.955,26952,0.0033%
.uno,29.24,104.78,1.42,104.78,67.01,3,201.03,56942,0.0071%
.ski,146.55,366.38,1.42,366.38,256.465,3,769.395,11733,0.0015%
.pub,227.19,227.19,1.42,227.19,227.19,3,681.57,58579,0.0073%
.bot,106.05,366.38,1.42,366.38,236.215,3,708.645,18288,0.0023%
